Issue_key,Requirement
WEBRC-1048,As connect admin I want able view activities user I able view users activities know changed Acceptance Criteria Given user connect admin selects users activity Given user selects user enters date range clicks Search The report returned show Username Full name Activity Date Changes Previous data New Data New entries All changes found logs
WEBRC-1280,substance connect abuser customer search results table like view single column first last preferred figure view customer name single newspaper column sort consequently acceptance criterion search client results table make column named name customer display name following format terminal name first name preferred name column sort filter capabilities columns currently board remove affiliation last name first name preferred name columns
WEBRC-1282,connect drug user like full readability buttons informed make decisions credence measure scan upload nelson thomas page rename save upload rename cancel discard
WEBRC-1285,connect user like see merge option individual categories document button upload merges pages family pdf single criteria acceptance merge option non uncommitted exist nether individual document categories scan upload page
WEBRC-749,connect user like view id information related customer acceptance criteria given user customer details screen show driver license customer information heading read id number show information fields related id id type id issuer id issue date id expiration date included values fields match associated id related customer information customer tab branch application
Webrc-686,acceptance error criteria error label certain corrections made listed attached page document change error message incoming branch still offline read sorry branch trying connect currently offline please try later
moyo-137,product as manager i  want able help provide prompts texts application  guides users using application  acceptance criteria for  imagine module values guiding needs canvas program impact model
moyo-156,current workflow forgot password   enter    email  go verification code page    get email verification    enter code    change password   page  new login password  new workflow forgot password    enter username    get password change email    change password    new login password  acceptance criteria user provides username verifies  email user associated account sent there option resend email  associated used receive �  user confirm password change link available email new provide password  if new password old password  user shall proceed notified  successful upon change password user gets notified  the link confirm email shall expire 10 mins 
moyo-160,system let user custom create role permission  every role least permission one  adding permission custom work role  description field mandatory  the created custom role reflect role field invitation  acceptance criteria system custom role save permission added  adding permission existing custom role work  when custom adding role  description mandatory field  the created newly custom role displayed one tries invite somebody 
moyo-17,user work page profile update user information
moyo-187,the email functionality sends organization delete request email administrators organization   the email content contain information user explaining process delete data organization   the email provide recipient email   administrator   means approve reject   stop   delete process   acceptance criteria organization delete request email send organization admins   admins   the email contain necessary information consequence approving delete process the email means send approval rejection delete process application  
moyo-188,perform soft delete temporarily acceptance criteria organization available operation   marking organization delete filtering organizations marked deleted
moyo-203,organization hide delete button organization show hover
moyo-208,visualize page display strategies   action plans impacts together one card
moyo-214,change combo collection buttons based conditions acceptance criteria   user able search programs using search box user clicks view   user able get lists programs registered users organization menu display top five programs user able create new program clicking create program
moyo-218,design calendar view components  on timetable show date view calendar introduce new component calendar app criteria acceptance  a user able navigate calendar using      previous      next buttons based calendar view type he   chooses she month  week  day list toady   lists events   tasks belongs date � user calendar month   lists events   tasks found task list based user month browses week   lists events   tasks found task list based week user browses day   lists events   tasks found task list based date provided range list   events lists   found tasks task list based date provided range figma link
moyo-242,front implementation end storytelling crud operation tasks criteria acceptance ability create tasks should able update tasks should able delete tasks able should read tasks icon task show status corresponding status task progress overdue completed made changes task reflect calendar figma link
moyo-243,acceptance criteria   after clicking settings button found notification bell page   user redirected notifications setting page user able set notification preference   � email � � web � notification medium types     if user wants also update his her notification preference set previously   able update save it figma link
moyo-245,introduce interface notifications shown users  acceptance  criteria bell notification icon show count total unread notifications user user clicks notification bell icon  he   she get list page notifications unread  notification indicated light green dot bold green dot shown longer user opens notification marks read mark read   user clicks button  unread notifications displayed number read total unread notifications shown bell icon longer displayed green dot displayed next unread notifications longer displayed view   clicking button  user taken page shows lists notifications figma link
moyo-273,the avatar cards showing user   created �   updates � showing first letter users first name   this changed first letter first name first letter last name   ex   john doe   displayed jd   acceptance criteria every card imagine plan modules display collaboration icons jd rather j  j first letter first name user d first letter last name user  
moyo-308,when storytelling action added  create option action task  acceptance criteria ability add task upon creating actions checking   task add   checkbox  while editing action unchecking   add task   checkbox  remove already task created storytelling task section  removing also action shall task remove created  
